Data,Nome,Preco
11/30/22 01:37:00,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
11/30/22 01:37:03,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
11/30/22 02:19:36,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
11/30/22 02:19:39,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
11/30/22 02:21:07,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
11/30/22 02:21:10,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
11/30/22 02:31:53,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
11/30/22 02:31:57,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
11/30/22 02:34:00,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
11/30/22 02:34:03,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
11/30/22 20:22:03,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
11/30/22 20:22:06,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
11/30/22 22:14:21,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
11/30/22 22:14:24,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
12/01/22 20:54:03,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
12/01/22 20:54:06,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
12/01/22 22:34:59,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
12/01/22 22:35:01,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
12/01/22 23:40:09,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
12/01/22 23:40:14,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
12/02/22 00:34:14,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
12/02/22 00:34:16,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
12/02/22 00:34:46,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
12/02/22 00:34:48,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
12/02/22 02:11:49,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
12/02/22 02:11:52,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
12/02/22 02:59:58,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
12/02/22 03:00:01,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
12/02/22 12:42:39,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
12/02/22 12:42:42,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
12/02/22 19:20:29,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
12/02/22 19:20:33,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
12/02/22 20:11:12,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
12/02/22 20:11:15,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
12/03/22 02:29:52,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
12/03/22 02:29:55,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
12/04/22 15:17:38,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
12/04/22 15:17:40,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
12/04/22 18:09:55,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
12/04/22 18:09:59,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
12/05/22 23:53:38,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
12/05/22 23:53:40,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",191.62
12/06/22 20:43:25,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
12/06/22 20:43:28,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",209.90
12/06/22 23:13:55,"Fita LED Inteligente AGL, Wi-Fi, 3 metros, Compatível com Alexa - bivolt",159.60
12/06/22 23:13:58,"Fita LED Inteligente AGL, Wi-Fi, 5 metros, Compatível com Alexa, Branco",229.99
